Date,Sell_Out,FB&IG_inv,OOH_inv,TV Azteca_inv,OTV_inv,Youtube_inv,Pay TV_inv,Televisa_inv,Contenido_inv,TikTok_inv,Google Ads_inv,Twitter_inv,Otros Digital_inv,Otros_Digital_suma,Competidor1_IBOPE_OFF,Likes_IG_Marca a Modelar,Views_YT_Competidor1,Distribución,Tipo de Cambio,Mexico-InflationRate,Unemployment Rate,Grp Televisa,Grp TV Azteca,Precio,Total Inv
2019-01-01,39175400,245000,2070268.85,1140529.25,2883476.4,50000,203109.95,1742947.15,0,0,0,0,0,0,44685975,719,68669657.71,24.64615385,19.22744194,4.37,3.6,62078.5,17541.61,22.48698418,5451855.2
2019-02-01,33604400,568030.2825,0,4697360.62,9798522.722,430000,1794559.82,7745918,0,0,0,0,280000,280000,166483222,930,75252629.93,24.35384615,19.18334286,3.94,3.3,278350.13,82259.09,23.06902072,15515868.72
2019-03-01,37226100,165000,0,0,8433542.95,0,0,8433542.95,0,0,0,0,0,0,114894440,810,73778283.97,25.03174603,19.24877742,4,3.2,301019.47,0,22.93275686,8598542.95
2019-04-01,36679900,160193.94,0,510830.36,5800342.155,0,98446.68,794373.36,0,0,0,0,0,0,57557448,631,74289850.63,22.79452055,19.01630333,4.41,3.5,30055.35,6364.71,22.90896376,1563844.34
2019-05-01,38027700,435000,2101601.99,4726336.28,15047834.28,265000,1006912.32,10321498,0,0,0,0,200000,200000,59649156,551,80167729,22.94736842,19.09190968,4.28,3.5,272113.44,55548.12,22.62674051,19056348.59
2019-06-01,40103400,405888,0,0,4766555.2,130000,0,4766555.2,0,0,0,0,0,0,60023127,774,95585865.5,23,19.26677667,3.95,3.6,121009.64,0,21.90080891,5302443.2
2019-07-01,43716100,160000,0,0,3899361.06,0,0,3899361.06,0,0,0,0,0,0,0,405,103390167.1,21.31325301,19.06189355,3.78,3.7,58704.25,0,21.08450891,4059361.06
2019-08-01,41176000,410000,0,581422.4,9429182.502,170000,1172367.49,11492516,0,0,0,0,200000,200000,150780558,1991,68171488.97,20.03448276,19.58659032,3.16,3.7,311462.93,1950.43,21.76385273,14026305.89
2019-09-01,39243600,170887.78,0,6925098.687,15139502.79,0,1338900.89,10859160,0,0,0,0,0,0,479924703,891,95060267.5,19.98823529,19.60990333,3,3.8,126761.92,54796.68,22.17719832,19294047.36
2019-10-01,37065700,350000,2323020.76,418422.4,9362550.64,80000,1388040.33,8944128.24,0,0,0,0,0,0,132186092,380,158454862.8,19.52941176,19.36886452,3.02,3.6,201218.54,48802.02,22.88606447,13503611.73
2019-11-01,33440100,355000,0,0,0,0,0,0,0,0,0,0,100000,100000,96523396,361,211626641.9,20.08433735,19.30748,2.97,3.4,0,0,23.25327675,455000
2019-12-01,37418300,170000,0,0,0,0,0,0,0,0,0,0,0,0,98817968,334,278009734,19.90361446,19.16931935,2.83,2.9,0,0,23.17671567,170000
2020-01-01,39208020,114604,0,0,0,0,0,0,0,0,0,0,0,0,2827215,102,140398737.2,20.98734177,18.81445484,3.24,3.8,0,0,22.93478885,114604
